Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
108.04,6.0,64.0,10109.153390213449,10109.153390213449,0.0,0.0,0.25,0.09,0.26,0.83,0.0,0.0,0.0,0.35,0.11,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,749.36,66.65,80.98,71.57245484048116,5.100001367386018,70.58,101594837.6199687,9.5,11.963215897823856,7.214758809916994,29.67593398254655,0.9,141.55
153.48,6.0,64.0,243.9799105231096,243.9799105231096,0.0,0.03,0.17,0.21,0.27,0.91,0.0,0.0,0.08,0.4,0.26,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,743.03,65.01,79.48,70.63364288278801,4.996967443323005,70.4,84662364.68425083,9.5,11.883600664520271,7.076315000725779,30.6766904934154,0.87,141.55
197.02,6.0,64.0,10081.347540840909,10081.347540840909,0.0,0.04,0.18,0.14,0.26,0.9,0.0,0.0,0.16,0.37,0.31,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,722.32,63.57,79.2,68.95830273819746,4.749290952789656,69.17,84662364.68504933,9.5,11.741352507922944,6.71857509578632,28.27145550603633,0.87,141.55
172.76,6.0,64.0,504.6867722249927,504.6867722249927,0.0,0.03,0.14,0.17,0.33,0.87,0.0,0.0,0.09,0.29,0.26,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,749.34,65.76,79.65,71.37409165619381,5.594999649778795,70.53,84662364.68604651,9.5,11.945561626175504,7.916079653404022,38.082462487355016,0.91,141.55
200.76,6.0,64.0,20209.495849518586,20209.495849518586,0.0,0.03,0.2,0.11,0.27,0.87,0.0,0.0,0.12,0.45,0.27,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,724.73,63.72,76.84,68.8296495616097,3.935597088110043,69.22,84662364.68701403,9.5,11.732177800898455,5.540029910676608,18.947666480124425,0.92,141.55
197.05,6.0,64.0,22687.23549770097,22687.23549770097,0.0,0.06,0.22,0.17,0.29,0.87,0.0,0.0,0.19,0.44,0.38,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,740.11,64.53,77.46,70.24349919069579,4.891947332276025,70.51,84662364.68877245,9.5,11.84183558351118,6.919070482699351,28.35586982342946,0.9,141.55
161.35,6.0,64.0,85090.62878663227,85090.62878663227,0.0,0.04,0.29,0.12,0.21,0.77,0.0,0.0,0.08,0.62,0.17,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,744.04,64.56,77.28,70.84396130713972,4.517449294489254,70.59,84662364.6902697,9.5,11.899793615583862,6.377862807573208,24.592633249090586,0.92,141.55
213.57,6.0,64.0,2708.8903856122365,2708.8903856122365,0.0,0.04,0.23,0.22,0.18,0.82,0.0,0.0,0.21,0.69,0.41,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,727.69,62.94,78.73,70.0635385041515,5.19173582302761,68.39,84662364.69083782,9.5,11.83549728663894,7.348993074356344,32.957580935792585,0.95,141.55
219.33,6.0,64.0,457.5472666742139,457.5472666742139,0.0,0.08,0.22,0.15,0.23,0.83,0.0,0.0,0.24,0.62,0.49,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,728.34,64.16,76.69,69.44752738584086,4.33613887784103,69.35,84662364.69150609,9.5,11.783300278820102,6.124753955721803,26.30901351790434,0.78,141.55
195.19,6.0,64.0,20392.8661739484,20392.8661739484,0.0,0.04,0.4,0.12,0.22,0.76,0.0,0.0,0.12,0.75,0.29,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,744.38,65.06,77.77,70.99787776778605,4.488785061386071,71.26,84662364.69273062,9.5,11.912818783395451,6.342815132527753,24.325118797724727,0.93,141.55
