Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
93.2,6.0,64.0,2396.080304665307,2396.080304665307,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,398.2,69.7,85.0,75.03718253968255,6.775620394319303,69.7,169323394.5045233,5.5,12.242640668165125,9.582174255138096,56.871123000125976,0.9,38.5
293.1,8.2,64.0,24.25917602225577,24.25917602225577,0.0,0.1,0.0,0.0,0.7,0.8,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2129.2,66.0,859.1,136.6474695325315,193.6674928261201,195.6,169323394.6787158,13.5,16.489556002978492,274.56842720645926,40493.40157700759,1.0,244.6
202.6,6.0,64.0,1310.05355828826,1310.05355828826,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,429.0,72.6,110.0,83.35119047619047,14.220379631741212,74.8,3.9577484130859375e-05,5.5,12.88209142995213,20.11065373730254,228.7834937641723,0.9,38.5
2475.4,6.0,64.0,6566.048075243928,6566.048075243928,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,0.0,0.0,3.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3385.3,66.0,831.0,195.0660977906682,265.26222042744484,798.9,169323394.71743125,13.5,18.388539099627668,370.1109869785749,127364.45852420278,1.0,244.6
13545.0,6.0,156.0,4459.301335410252,4459.301335410252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6075.0,780.0,1494.0,1240.9833333333331,329.2195253477256,780.0,0.0012748956680297,5.5,49.477478321350674,465.5867177447866,219061.1972222222,0.5,38.5
17775.0,6.0,156.0,1234.0910032355364,1234.0910032355364,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10305.0,66.0,1494.0,658.7909397619925,699.7898742262246,780.0,169323394.6570953,13.5,36.14725367253974,989.5123795950618,489732.05281606567,1.0,244.6
31287.0,6.0,64.0,1507.4054156322368,1507.4054156322368,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8217.0,1494.0,1494.0,1494.0,0.0,1494.0,2.7680397033691405e-05,5.5,54.6626014748658,0.0,0.0,0.0,38.5
44085.0,6.0,156.0,1595.930370086778,1595.930370086778,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21015.0,780.0,1494.0,1378.7118421052633,253.844757820399,780.0,169323394.6588546,13.5,52.56436348067376,353.875264073497,129222.85344529086,0.5,244.6
46601.4,6.0,211.2,1466.4797354843554,1466.4797354843554,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,791.4,66.0,351.6,110.42666666666666,101.99771037930624,351.6,0.0006161928176879,5.5,13.96284049424022,144.2465453494179,52767.03288888889,0.2,38.5
57543.0,6.0,64.0,1567.737472972016,1567.737472972016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11733.0,66.0,1494.0,729.9955490123912,696.391899665899,1494.0,169323394.65840268,13.5,37.92896135856763,985.6203418559966,486269.0619612088,1.0,244.6
72483.0,6.0,64.0,1785.3062255273867,1785.3062255273867,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8217.0,1494.0,1494.0,1494.0,0.0,1494.0,9.059906005859376e-05,5.5,54.6626014748658,0.0,0.0,0.0,38.5
87423.0,6.0,64.0,2004.275080904768,2004.275080904768,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23157.0,1494.0,1494.0,1494.0,0.0,1494.0,169323394.65853012,13.5,54.6626014748658,0.0,0.0,0.0,244.6
101934.6,6.0,100.8,2135.252921443735,2135.252921443735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7788.6,1208.4,1494.0,1449.5733333333333,101.99771037930624,1208.4,0.0010524034500122,5.5,53.8140265189827,144.24654534941786,52767.03288888889,0.2,38.5
106593.0,6.0,248.0,1936.652701060129,1936.652701060129,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12447.0,66.0,1494.0,830.0044509876088,696.391899665899,66.0,169323394.65994057,13.5,40.66883007480585,985.6203418559966,486269.0619612088,1.0,244.6
108109.8,6.0,192.8,2023.0391784692376,2023.0391784692376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1219.8,66.0,494.4,158.42333333333332,172.03347236328554,494.4,0.0003728151321411,5.5,16.167115806000897,243.29206979829544,100371.59455555557,0.3,38.5
120051.0,6.0,64.0,2123.8636149448453,2123.8636149448453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13161.0,66.0,1494.0,825.4961053858422,700.6530333697085,1494.0,169323394.6601928,13.5,40.44207599345921,991.9649215533552,492097.2447000461,1.0,244.6
134991.0,6.0,64.0,2265.8272835695952,2265.8272835695952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8217.0,1494.0,1494.0,1494.0,0.0,1494.0,0.0001250028610229,5.5,54.6626014748658,0.0,0.0,0.0,38.5
149931.0,6.0,64.0,2397.9835806713936,2397.9835806713936,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,140.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23157.0,1494.0,1494.0,1494.0,0.0,1494.0,169323394.66036507,13.5,54.6626014748658,0.0,0.0,0.0,244.6
164871.0,6.0,64.0,2550.3342471303195,2550.3342471303195,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8217.0,1494.0,1494.0,1494.0,0.0,1494.0,3.881454467773438e-05,5.5,54.6626014748658,0.0,0.0,0.0,38.5
179811.0,6.0,64.0,2664.993455777967,2664.993455777967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,160.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23157.0,1494.0,1494.0,1494.0,0.0,1494.0,169323394.66067398,13.5,54.6626014748658,0.0,0.0,0.0,244.6
