Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
199.1,7.1,80.8,44193.400087548056,44193.400087548056,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1232.6,79.2,847.5,254.4142857142857,290.2250861471072,165.3,169410534.0935859,5.5,22.06206561599048,410.4402529701389,95884.74555442177,0.9,38.5
163.6,7.1,70.4,118249.94354195194,118249.94354195194,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2176.0,66.0,928.0,141.8054972216466,211.9474846937185,108.8,169410534.2364385,13.5,16.848682966701045,300.3836745941482,45391.533967591895,1.0,244.6
289.2,6.0,64.0,3.50225688412437,3.50225688412437,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,440.9,66.0,101.1,78.20980158730158,14.646537635451716,80.5,5.838871002197266e-05,5.5,12.499571490739998,20.71333216586378,251.8040062200806,0.9,38.5
278.4,7.1,80.8,11188.114046620129,11188.114046620129,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1334.4,66.0,203.7,86.07500422393224,34.77823413217901,89.3,169410534.3934929,13.5,13.126486041159168,49.266604572334,1254.0686638092889,1.0,244.6
375.0,6.0,64.0,12522.81068746271,12522.81068746271,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,447.8,70.5,111.0,85.15738095238095,15.18717538740999,78.3,7.510185241699219e-05,5.5,13.032968074772436,21.47790940701407,261.7798520408163,0.9,38.5
258.3,11.5,111.6,16780.352377803996,16780.352377803996,0.0,0.1,0.0,0.0,0.3,0.5,0.0,0.0,0.1,0.0,0.0,1.9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1606.0,66.0,239.2,102.2324882427514,52.84853986511316,133.7,169410534.49322832,13.5,14.298144977027116,74.85999151753458,2982.238424993559,1.0,244.6
500.0,6.0,64.0,18238.37202984576,18238.37202984576,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,423.2,67.9,90.2,77.43480158730158,9.176334375262176,77.8,7.479190826416015e-05,5.5,12.442591163203568,12.977296526366212,97.5413712994457,0.9,38.5
294.4,6.0,64.0,21691.01235157222,21691.01235157222,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1215.8,66.0,111.0,78.40383098411738,13.65336320856604,79.9,169410534.39360872,13.5,12.527576317720936,19.319205200007232,186.9362275292051,1.0,244.6
515.2,7.1,106.3,2.2554196626462657,2.2554196626462657,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1253.3,65.7,771.0,227.55301587301588,250.55210600475863,184.3,0.100060486793518,5.5,21.006914659459586,354.33418639307104,78074.43403602924,0.9,38.5
666.6,6.0,80.6,3.142699071528722,3.142699071528722,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2301.2,54.0,930.0,151.16625404566196,211.47346646914653,76.2,169410534.51526958,13.5,17.39207687282164,299.6390891444186,45180.40698087186,1.0,244.6
