Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
202.5,8.2,167.5,6.924619996958524,6.924619996958524,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,722.3,60.0,210.0,122.79599206349208,65.48880726043852,129.7,169453248.93358618,5.5,15.52582122010578,92.61515941134978,5365.388476930587,0.8,38.5
743.1,7.1,146.6,4.592356690164597,4.592356690164597,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2494.9,54.0,588.0,155.46241889818128,152.6924737980601,259.1,169453248.9868729,13.5,17.549669231801943,216.77567544412256,30589.115012858,1.0,244.6
1461.4,10.4,128.3,5.973353545679824,5.973353545679824,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,789.6,54.0,264.6,121.33873015873016,75.30151248440824,188.9,0.107200813293457,5.5,15.284002532975515,106.49242022265707,7730.824539430588,0.8,38.5
2240.1,10.4,121.3,3.550627379622191,3.550627379622191,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2818.9,54.0,629.8,179.5738730318529,156.43783554429314,237.4,169453249.59954357,13.5,18.889630434242456,221.6864708696721,25879.62943172135,1.0,244.6
958.4,8.2,102.2,9.011125916499692,9.011125916499692,0.0,0.1,0.1,0.0,0.4,0.7,0.0,0.0,0.1,0.3,0.0,5.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,776.5,79.6,356.4,139.9096825396825,95.3040181253096,166.8,0.1653540134429931,5.5,16.61604987983637,134.7802349814641,12887.894147140338,0.9,38.5
1664.3,6.0,79.9,28.997665138228275,28.997665138228275,0.0,0.1,0.0,0.0,0.5,1.0,0.0,0.0,0.4,0.5,0.0,8.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2868.2,54.0,1011.0,180.95091459666924,237.83923899978805,228.7,169453249.55605,13.5,18.98977273829759,337.28023098911456,64663.52933544598,1.0,244.6
1366.7,7.0,60.6,27.288144928133345,27.288144928133345,0.0,0.0,0.1,0.0,0.1,0.6,0.0,0.0,0.4,0.4,0.0,6.7,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,519.4,58.2,167.9,89.68630952380951,37.88432941211419,88.5,0.0131417036056518,5.5,13.324659214655032,53.57653245602184,1887.7171931689345,0.9,38.5
1905.9,6.0,176.6,41.86794413383547,41.86794413383547,0.0,0.0,0.0,0.6,0.2,1.0,0.0,0.0,0.0,0.8,0.6,5.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4335.3,54.0,1347.4,273.5439556625006,437.3798265117296,443.1,169453249.580686,13.5,23.138669242055137,619.8690044279041,210706.8971255445,1.0,244.6
54.0,6.0,255.0,43.542892973637386,43.542892973637386,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0010097026824951,5.5,10.392304845413264,0.0,0.0,0.0,38.5
2788.6,6.0,176.6,42.99629611408604,42.99629611408604,0.0,0.0,0.0,0.6,0.3,1.0,0.0,0.0,0.0,0.8,0.6,7.2,0.0,0.4,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,895.6,54.0,82.5,57.04886308909529,8.295793987823762,81.7,169453249.57319,13.5,10.640750374197554,11.223990358511395,199.3300667232777,0.4,244.6
527.4,6.0,234.3,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.9,3.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0014037132263183,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.57477087,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0001440048217773,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.5761568,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0014802932739257,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.5774624,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.000518798828125,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.58030647,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0008803129196166,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.5826104,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,3.4302424332233423,3.4302424332233423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0002168893814086,5.5,10.392304845413264,0.0,0.0,0.0,38.5
765.4,6.0,235.4,17.79434129271434,17.79434129271434,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.2,0.9,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,841.8,54.0,58.8,54.26041279669763,1.086716840086745,55.2,169453249.5824638,13.5,10.41758988172406,1.5459322219528229,2.988798469798001,0.4,244.6
54.0,6.0,255.0,39.34048958195083,39.34048958195083,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0002028942108154,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,39.34048958195083,39.34048958195083,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.58768162,13.5,10.392304845413264,0.0,0.0,0.0,244.6
54.0,6.0,255.0,39.34048958195083,39.34048958195083,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0002218008041381,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,39.34048958195083,39.34048958195083,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169453249.58522922,13.5,10.392304845413264,0.0,0.0,0.0,244.6
100.4,6.0,90.0,17.10820590369938,17.10820590369938,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.8,1.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,311.4,54.0,57.2,56.0568253968254,1.453285341250037,57.2,0.0026695013046264,5.5,10.587802645330529,2.0552558395938143,2.6541849332325524,0.8,38.5
